c file generated by rmnkGenerator.R with seed  0 the 01/16/2024 20:06:46 
0.7496611  0.9468217  
0.06135066  0.3228645  
0.4984422  0.06262581  
0.08682897  0.5103443  
0.7137356  0.2137443  
0.2557589  0.1325377  
0.2304925  0.2381983  
0.115737  0.2993708  
0.7796403  0.616881  
0.4620187  0.8566701  
0.764446  0.81577  
0.9980979  0.9649355  
0.5228652  0.353459  
0.8026266  0.6405412  
0.9919779  0.9996192  
0.8062223  0.5505108  
0.620709  0.3338343  
0.1788447  0.2120653  
0.7651715  0.04558339  
0.04529135  0.09802585  
0.1267862  0.05072405  
0.1297016  0.6597862  
0.8799552  0.2708188  
0.3924246  0.6347543  
0.2763308  0.4618916  
0.02426849  0.1068742  
0.3807488  0.9290555  
0.6235997  0.6906012  
0.9626488  0.8589314  
0.1612199  0.01095698  
0.3988656  0.4010024  
0.9818797  0.8413309  
0.5602566  0.521601  
0.7716125  0.9557037  
0.8090945  0.5558772  
0.6928496  0.3964063  
0.9527997  0.4774688  
0.08011908  0.03760593  
0.6559666  0.158097  
0.5780341  0.8091771  
0.9410022  0.790329  
0.5529393  0.8893907  
0.4586735  0.6722873  
0.912571  0.7452119  
0.2089572  0.7980157  
0.1403489  0.1907407  
0.710869  0.2741176  
0.4081996  0.4772098  
0.5966846  0.6588786  
0.4702898  0.2746972  
0.7735483  0.6567775  
0.9906904  0.9016313  
0.253621  0.005986973  
0.8331448  0.5262495  
0.49899  0.1011321  
0.4971211  0.1345798  
0.03849181  0.0746277  
0.655113  0.1955775  
0.8632495  0.307312  
0.09890705  0.1083975  
0.9494659  0.9630592  
0.04765037  0.627562  
0.04556098  0.009671954  
0.4326869  0.4872051  
0.9293914  0.9963872  
0.9726909  0.8159458  
0.9180611  0.8067764  
0.7145894  0.7961291  
0.5988766  0.7140729  
0.05182438  0.8031736  
0.1225075  0.0664313  
0.002237646  0.1384982  
0.3522706  0.04415127  
0.2238133  0.008375528  
0.1377671  0.2559106  
0.7421677  0.7381836  
0.1833759  0.2541963  
0.04340451  0.1569361  
0.149456  0.2482836  
0.03860644  0.1020116  
0.839368  0.6660356  
0.08286787  0.102261  
0.6426709  0.2667028  
0.7978021  0.5755615  
0.7951037  0.9031582  
0.9789184  0.9059275  
0.03574325  0.09521714  
0.9116183  0.6116399  
0.4679434  0.1831578  
0.5631042  0.3162984  
0.8575303  0.9318153  
0.3386312  0.2555695  
0.7997062  0.6407193  
0.2758811  0.6663052  
0.5262738  0.1755999  
0.8218525  0.9419399  
0.4263606  0.4163084  
0.5433542  0.3140049  
0.868472  0.544524  
0.7012288  0.8621195  
0.3462384  0.108078  
0.7411746  0.9162734  
0.08907921  0.5879932  
0.5758601  0.03934492  
0.004644282  0.06385493  
0.5679873  0.3341632  
0.5146338  0.6997316  
0.4572484  0.1264625  
0.8863306  0.8385704  
0.9016158  0.4228809  
0.534824  0.5355399  
0.9671298  0.9123563  
0.05620474  0.1426497  
0.6020566  0.5972641  
0.6820183  0.8465297  
0.05285383  0.4436415  
0.2755556  0.5564748  
0.3390843  0.6240834  
0.2833242  0.4154018  
0.6617395  0.3843749  
0.3018597  0.5970179  
0.1475436  0.3363471  
0.7487397  0.7503857  
0.698862  0.06174847  
0.1616955  0.4523367  
0.8365799  0.4484376  
0.971969  0.8613248  
0.09106764  0.03760117  
0.6893668  0.4427442  
0.792687  0.4548729  
0.4260812  0.5940687  
0.9953777  0.9727657  
0.8558366  0.8770793  
0.2578278  0.3840423  
0.3084402  0.2725962  
0.8372498  0.7363896  
0.5640514  0.9473027  
0.7174191  0.7568948  
0.5035964  0.1405159  
0.6158313  0.7448505  
0.8238334  0.1432361  
0.97168  0.9137394  
0.236154  0.2140205  
0.2532913  0.7648108  
0.2111834  0.1563089  
0.2134799  0.1731007  
0.8879347  0.1134532  
0.4109289  0.4256388  
0.5322064  0.1678401  
0.9647853  0.8239159  
0.4499716  0.6104174  
0.9520897  0.7471968  
0.08323308  0.3628215  
0.4593667  0.3698788  
0.1552989  0.07107119  
0.849856  0.93465  
0.1324316  0.2676797  
0.8445441  0.9443987  
0.02349196  0.5926004  
0.4822947  0.4511905  
0.02412802  0.0009434689  
0.4083219  0.4189666  
0.6708  0.3386836  
0.1506539  0.009165414  
0.02643801  0.9232309  
0.4691656  0.2961843  
0.01124223  0.1660529  
0.8608267  0.6930292  
0.2931081  0.05483063  
0.343739  0.5060646  
0.7362053  0.6427445  
0.1895262  0.4803791  
0.5078157  0.9025618  
0.2990426  0.7749252  
0.9143161  0.8967233  
0.3812527  0.1923484  
0.1426621  0.162722  
0.5336197  0.7087913  
0.6372978  0.2433121  
0.4285644  0.3661906  
0.5051568  0.8064856  
0.8835789  0.3684895  
0.2101226  0.7993222  
0.7781855  0.6391  
0.6169139  0.8499679  
0.9319838  0.4931629  
0.8336137  0.7699544  
0.9554658  0.7213798  
0.2426482  0.6759557  
0.5531278  0.1809817  
0.08753079  0.2079847  
0.3256754  0.5126728  
0.3584473  0.1010031  
0.5042525  0.7630996  
0.2534541  0.6225229  
0.3230927  0.2993144  
0.4155719  0.06499375  
0.1919715  0.8359678  
0.4430581  0.1807417  
0.0275519  0.3792424  
0.0312366  0.2644413  
0.9213344  0.7028948  
0.1896311  0.3752617  
0.1100706  0.4517694  
0.392965  0.4035596  
0.413064  0.212688  
0.3663468  0.3287957  
0.2414542  0.5592551  
0.1783215  0.442675  
0.2266872  0.1182025  
0.3616658  0.9471087  
0.3577066  0.568376  
0.1685893  0.05563135  
0.3823979  0.9576666  
0.003456304  0.3539799  
0.4695014  0.2633938  
0.4051775  0.3941916  
0.05458371  0.4772969  
0.8057895  0.361686  
0.06996341  0.1179821  
0.8504834  0.9502471  
0.8772249  0.3044196  
0.8507707  0.9753054  
0.6897209  0.7401249  
0.03546295  0.1194606  
0.7400341  0.6919681  
0.4706841  0.8070054  
0.8556322  0.7743842  
0.7419887  0.8945004  
0.7849314  0.508468  
0.3387845  0.9372735  
0.1843339  0.4494077  
0.8703574  0.9527773  
0.04458024  0.07802454  
0.089545  0.02379905  
0.1803636  0.08542496  
0.8004446  0.777827  
0.1208187  0.2155386  
0.2535347  0.4937634  
0.7298443  0.3205768  
0.705649  0.08134078  
0.01194447  0.07687273  
0.5705943  0.9703616  
0.2024839  0.7570898  
0.4459226  0.858506  
0.2538072  0.7489644  
0.3617681  0.2797485  
0.5761526  0.495456  
0.9518811  0.412223  
0.01845471  0.2821674  
0.2150894  0.1044241  
0.8980431  0.8485808  
0.1856686  0.2397862  
0.2155583  0.7924051  
0.3026258  0.02234731  
0.7268477  0.7300224  
0.7929564  0.5923828  
0.5427863  0.2791696  
0.9878485  0.6896788  
0.2730004  0.3824281  
0.3675493  0.4295347  
0.8030264  0.8631552  
0.534808  0.7652987  
0.7353235  0.8097515  
0.6140725  0.989331  
0.7305101  0.4272958  
0.7589002  0.6719332  
0.4495892  0.1570519  
0.7694937  0.5334226  
0.2382372  0.5656815  
0.9273603  0.787941  
0.4577658  0.5087356  
0.5269989  0.4942091  
0.6103809  0.3871936  
0.03771441  0.0344708  
0.3079877  0.1050097  
0.9659288  0.9502804  
0.8387273  0.6024669  
0.7112704  0.313142  
0.5025408  0.3872121  
0.3064962  0.5866645  
0.7186007  0.578104  
0.5904103  0.8752354  
0.06069768  0.4263794  
0.7090327  0.2116088  
0.1451316  0.122372  
0.3537174  0.3508124  
0.8292854  0.4792854  
0.08717652  0.1151833  
0.5980718  0.9398961  
0.9565734  0.6447412  
0.7686998  0.2258131  
0.5634447  0.623679  
0.9469314  0.7753531  
0.3213052  0.2851438  
0.08863205  0.3793561  
0.1246005  0.1882259  
0.1312015  0.2731986  
0.1088124  0.4901292  
0.6564666  0.6004901  
0.09917339  0.3513651  
0.3018176  0.5136262  
0.3826995  0.716157  
0.0953142  0.1661937  
0.8224591  0.9433878  
0.6903841  0.9652377  
0.04613584  0.06587431  
0.6946188  0.08617248  
0.09041481  0.7512579  
0.5909275  0.5274944  
0.1502306  0.1496078  
0.6716548  0.133604  
0.6899196  0.8129352  
0.883934  0.7113302  
0.1022301  0.952961  
0.7640514  0.4506887  
0.349057  0.2247384  
0.3074779  0.3895569  
0.6824721  0.9428415  
0.152263  0.8732254  
0.2955803  0.2516557  
0.8512244  0.967658  
0.05927413  0.7009098  
0.7996454  0.876386  
0.6169881  0.7672584  
0.7629575  0.4819155  
0.1782542  0.6453221  
0.7708922  0.7953547  
0.01640477  0.2212353  
0.1605615  0.2250052  
0.1658392  0.7051937  
0.630348  0.4773113  
0.1571845  0.8822877  
0.3379433  0.4641133  
0.4879321  0.3127586  
0.6997355  0.6203066  
0.08218614  0.5867582  
0.01378629  0.0475831  
0.6890171  0.3133943  
0.7855388  0.7686612  
0.8290315  0.7830282  
0.469731  0.3300572  
0.3751217  0.583346  
0.9092896  0.9092642  
0.4567311  0.1517214  
0.5391646  0.3707683  
0.6668664  0.6651151  
0.5015395  0.1262307  
0.2686204  0.4194988  
0.5960528  0.7762597  
0.3315866  0.1995359  
0.4864931  0.7994788  
0.5450525  0.01284585  
0.03825152  0.03622134  
0.5240395  0.8497197  
0.7440153  0.1865624  
0.5750235  0.1690093  
0.1437735  0.5561355  
0.8346521  0.7827226  
0.06466677  0.3438278  
0.730765  0.8602919  
0.02702356  0.5357492  
0.4780053  0.4252377  
0.4345404  0.4149896  
0.9323342  0.3158973  
0.001714318  0.41531  
0.5054872  0.3202511  
0.4926862  0.4103708  
0.599877  0.7681684  
0.9361872  0.6774265  
0.1970615  0.1883364  
0.8056783  0.3881334  
0.6104149  0.6954129  
0.6433482  0.9577476  
0.3314761  0.6099492  
0.9031058  0.7667456  
0.3770943  0.6796018  
0.2297238  0.5863854  
0.6323442  0.7148524  
0.7601135  0.4184598  
0.706927  0.5538341  
0.9425259  0.5792298  
0.3897069  0.4108193  
0.4128801  0.4209675  
0.3479915  0.5122456  
0.7889636  0.8628142  
0.9837418  0.9048399  
0.8555788  0.7402984  
0.7928749  0.8459508  
0.9752105  0.8776619  
0.5701038  0.1175778  
0.08147429  0.1143152  
0.3952406  0.04483101  
0.4548535  0.7133282  
0.6950333  0.3195703  
0.002158839  0.02575812  
0.9660418  0.6063252  
0.6400484  0.2275124  
0.5717174  0.3893811  
0.4531481  0.7985415  
0.04097372  0.2825542  
0.5291302  0.09302597  
0.9731272  0.4596953  
0.9226564  0.9805012  
0.8515276  0.5684292  
0.7736011  0.7103071  
0.01417102  0.2040322  
0.8340159  0.813436  
0.953125  0.6215998  
0.399214  0.3551498  
0.391607  0.7283716  
0.7770884  0.8080319  
0.9830234  0.9539909  
0.4092672  0.0416074  
0.8674656  0.7597318  
0.926159  0.8381103  
0.9227592  0.5766357  
0.5103446  0.6890378  
0.501706  0.3926131  
0.4179839  0.6909495  
0.6896175  0.850987  
0.04877576  0.4017298  
0.1214645  0.1603303  
0.3301961  0.2065939  
0.07297517  0.1438069  
0.02480989  0.1616291  
0.8185115  0.936801  
0.09115365  0.3851105  
0.2425911  0.4231549  
0.2093725  0.1155869  
0.8068661  0.5159765  
0.755198  0.5957735  
0.4291497  0.988669  
0.2523827  0.4404762  
0.8191578  0.9000368  
0.3672093  0.7195401  
0.0675294  0.2109808  
0.7316615  0.9218428  
0.8806879  0.932802  
0.8360941  0.6698366  
0.3673939  0.3363938  
0.05909837  0.2076133  
0.5094387  0.5169609  
0.4895254  0.009319744  
0.03456707  0.08238676  
0.5550608  0.8656603  
0.7389311  0.1212722  
0.3625727  0.3618357  
0.05039244  0.6928079  
0.9604984  0.7153843  
0.2059691  0.02377511  
0.515935  0.2044815  
0.9067329  0.374476  
0.2349381  0.8917538  
0.2759917  0.3108833  
0.1810327  0.7886718  
0.4766432  0.3890063  
0.9660907  0.8747661  
0.4047468  0.6636357  
0.1353272  0.4776552  
0.8814859  0.8199412  
0.1373671  0.1236304  
0.8358791  0.4894339  
0.7819305  0.9188123  
0.160017  0.1431417  
0.8153534  0.3727149  
0.5959  0.9248061  
0.826831  0.8493492  
0.9656236  0.8089358  
0.9863622  0.8816174  
0.4189262  0.7117513  
0.585863  0.04321378  
0.1552209  0.373094  
0.6455245  0.8038677  
0.05131384  0.1254211  
0.6945865  0.6463198  
0.1278593  0.1827173  
0.3323037  0.1146858  
0.5134894  0.7158606  
0.2984908  0.3037733  
0.3867148  0.1196787  
0.2344164  0.3267372  
0.8374994  0.9357074  
0.09132785  0.1374442  
0.6737431  0.3982681  
0.5044255  0.2014857  
0.9999496  0.9109786  
0.4871844  0.4025036  
0.9394783  0.9521345  
0.8774777  0.6422298  
0.04563834  0.1399809  
0.4401596  0.8558301  
0.5323982  0.8748156  
0.6782493  0.338021  
0.0019861  0.2843602  
0.9445754  0.9912227  
0.5102435  0.3603382  
0.119873  0.09654991  
0.7290877  0.9448394  
0.3766779  0.4512281  
0.6447327  0.5250983  
0.3095481  0.1895732  
0.03726439  0.08340667  
0.2515682  0.645582  
0.8907317  0.5386879  
0.4715082  0.5165059  
0.4127117  0.6061615  
0.8611277  0.2442497  
0.5225214  0.7415739  
0.4904944  0.3305212  
0.4918138  0.3031276  
0.2987594  0.2210025  
0.1963708  0.05612724  
0.1388803  0.07170585  
0.2773467  0.2120666  
0.1051805  0.4760929  
0.1922116  0.5708793  
0.1641862  0.1206439  
0.1361198  0.3169981  
0.9626928  0.8066918  
0.5823752  0.6734109  
0.5416633  0.6394353  
0.3490604  0.6347538  
0.2527411  0.1694422  
0.414136  0.2034404  
0.5064148  0.2508207  
0.4601804  0.6007963  
0.3246197  0.6529994  
0.7689544  0.9930112  
0.500011  0.2737583  
0.3282553  0.1896311  
0.02695977  0.165991  
0.1268271  0.264888  
0.9954733  0.9760746  
0.619914  0.5912377  
0.9225848  0.5729064  
0.9127041  0.1610464  
0.7490568  0.3606069  
0.6614508  0.2390196  
0.3424314  0.9178366  
0.9112673  0.8858301  
0.575551  0.9196714  
0.5575915  0.2955054  
0.8201202  0.2332757  
0.04909428  0.1818902  
0.8990696  0.7692643  
0.9896887  0.8136957  
0.2129412  0.03040277  
0.5725896  0.4149054  
0.7775967  0.01016856  
0.1302056  0.1607353  
0.8777108  0.7659879  
0.9415608  0.6895258  
0.9276616  0.98341  
0.8001843  0.5167144  
0.009996361  0.1852032  
0.840925  0.4468816  
0.1323307  0.4557315  
0.3215189  0.5444122  
0.6451573  0.522106  
0.2095641  0.8244096  
0.9621466  0.3548374  
0.4128173  0.1740572  
0.2918221  0.2579976  
0.1581311  0.9077649  
0.8507413  0.6956624  
0.5226777  0.2265527  
0.2565438  0.2985737  
0.2764378  0.1165868  
0.4406899  0.1193837  
0.1433548  0.713661  
0.04064402  0.3753915  
0.8103813  0.6340587  
0.06413338  0.017236  
0.2533433  0.6522718  
0.1966763  0.04450126  
0.7323421  0.9369866  
0.4591178  0.2115731  
0.9835817  0.4446929  
0.4187806  0.2956968  
0.3932397  0.4581128  
0.03348751  0.5109899  
0.008072337  0.001170103  
0.9656956  0.8619253  
0.1549193  0.06955188  
0.965741  0.996666  
0.4922762  0.7240568  
0.3225628  0.2948762  
0.7136966  0.7489768  
0.4044651  0.9639673  
0.4498897  0.3910138  
0.5582041  0.5376561  
0.862478  0.98489  
0.1212217  0.09417034  
0.2336795  0.7389187  
0.7844596  0.7312298  
0.05845863  0.1757151  
0.2052924  0.009608111  
0.7961014  0.9413821  
0.1796295  0.3427023  
0.1060534  0.2788769  
0.5133945  0.4611546  
0.2121006  0.4282588  
0.1828635  0.4667509  
0.145304  0.07308182  
0.3619672  0.1053112  
0.468451  0.9426692  
0.7614304  0.5682903  
0.5741221  0.0943549  
0.9882172  0.9775672  
0.8661398  0.9344238  
0.7785537  0.01905521  
0.464291  0.4668475  
0.0009733303  0.004358935  
0.8716481  0.711458  
0.4800578  0.8505467  
0.3935912  0.2709814  
0.3794547  0.4856417  
0.6058075  0.4539101  
0.8436  0.7850468  
0.1050097  0.3223718  
0.9607271  0.5500849  
0.9054416  0.5089228  
0.133657  0.4467342  
0.3843687  0.4156401  
0.6684143  0.9975921  
0.5948298  0.3025398  
0.1063239  0.1130379  
0.06010627  0.1468079  
0.4044867  0.5473058  
0.8712272  0.2390728  
0.2742356  0.8514649  
0.08248609  0.8215013  
0.01850126  0.07981598  
0.7220256  0.08315697  
0.8342392  0.7475251  
0.0392475  0.009598526  
0.6944271  0.7179806  
0.1685979  0.05004186  
0.5658191  0.2901428  
0.3062998  0.0241598  
0.7544763  0.7769807  
0.5879052  0.1020492  
0.7969069  0.4662574  
0.7316944  0.02105517  
0.3924799  0.03447383  
0.03302422  0.203142  
0.04011396  0.3843511  
0.6596667  0.1494362  
0.9831769  0.6273596  
0.6915694  0.6938251  
0.4095424  0.1840632  
0.4830818  0.6795135  
0.169842  0.2077233  
0.3296839  0.2588493  
0.3807282  0.7198511  
0.999753  0.8963121  
0.7622792  0.379038  
0.8387608  0.2083525  
0.03513422  0.01190662  
0.8382013  0.862499  
0.9146779  0.7986164  
0.09996536  0.05616901  
0.5524468  0.4456968  
0.5045311  0.06792219  
0.9048099  0.1358077  
0.3668636  0.2927074  
0.7268828  0.886699  
0.357749  0.773227  
0.2138712  0.827503  
0.5058274  0.7488508  
0.04216098  0.06850057  
0.07371568  0.2651112  
0.8859859  0.886935  
0.7253164  0.3967408  
0.7783769  0.4812611  
0.2129628  0.04565255  
0.9610204  0.9811163  
0.3190139  0.3144315  
0.5220323  0.7897197  
0.4043893  0.4128088  
0.6910715  0.8714587  
0.2281834  0.1933994  
0.9418898  0.5668421  
0.8398791  0.7820788  
0.07519659  0.5160587  
0.03063142  0.1447035  
0.4747114  0.7800307  
0.003820419  0.06901281  
0.8109136  0.659114  
0.8510664  0.6156582  
0.8386786  0.6572465  
0.465304  0.3023657  
0.9698501  0.9107753  
0.4535162  0.4423178  
0.3454704  0.0934303  
0.4684567  0.2713427  
0.1192567  0.1456809  
0.07494368  0.2061804  
0.6000326  0.5429534  
0.2903916  0.7371429  
0.225233  0.421609  
0.2677617  0.5921254  
0.6024608  0.296585  
0.3191845  0.4715359  
0.9840734  0.8368127  
0.249158  0.3552375  
0.5813059  0.8445937  
0.3130145  0.4546748  
0.4859698  0.03278687  
0.2373669  0.1722168  
0.7117582  0.3893001  
0.2558085  0.3614887  
0.4913973  0.6183786  
0.6252016  0.6114464  
0.8409521  0.6185117  
0.1438448  0.2270933  
0.8310011  0.9267461  
0.02445283  0.07836141  
0.05304284  0.03714284  
0.6715369  0.9410351  
0.8498853  0.8766195  
0.4114853  0.03419162  
0.3667905  0.8884408  
0.05267609  0.2311511  
0.6610111  0.9918063  
0.6055662  0.4371284  
0.6726981  0.2402887  
0.344849  0.4174662  
0.1393293  0.1310651  
0.6615075  0.8586418  
0.5234304  0.4750694  
0.592447  0.7375096  
0.047855  0.5897864  
0.3756514  0.3284935  
0.6536012  0.5092194  
0.268496  0.006501368  
0.08862632  0.3687985  
0.3418799  0.2406138  
0.6581134  0.7215802  
0.1039244  0.3351763  
0.239731  0.1097696  
0.5297754  0.7430449  
0.4997758  0.08788889  
0.9552703  0.5324403  
0.05267182  0.08321345  
0.534216  0.2222164  
0.5545875  0.05855935  
0.1555891  0.5338179  
0.5998627  0.8439349  
0.8196443  0.6281712  
0.099264  0.4708529  
0.07096345  0.03218094  
0.1391209  0.3905726  
0.9172848  0.834252  
0.3763065  0.6100009  
0.5011439  0.05914427  
0.5819921  0.4240421  
0.4539747  0.9418146  
0.9876847  0.8459976  
0.3024206  0.9298079  
0.0397568  0.5010934  
0.8779432  0.9978856  
0.7504635  0.3014524  
0.9303739  0.84931  
0.8106971  0.9223137  
0.03185015  0.040207  
0.9132501  0.9381732  
0.4344308  0.4883449  
0.08974329  0.4447332  
0.6371773  0.4133551  
0.3800992  0.6732742  
0.506951  0.5111656  
0.6087319  0.2954717  
0.8609351  0.9420418  
0.5429758  0.9569707  
0.8693108  0.2991751  
0.1361538  0.5278729  
0.8364735  0.8889179  
0.7904201  0.6602092  
0.753747  0.07727654  
0.5724328  0.1472152  
0.4561521  0.3751801  
0.09242957  0.8543636  
0.6392381  0.6306988  
0.9713442  0.3717226  
0.1807138  0.9049954  
0.04991241  0.09293552  
0.6603456  0.5883448  
0.7812387  0.8819751  
0.04976706  0.2539961  
0.1454451  0.01126196  
0.8499795  0.6430923  
0.5491322  0.2108661  
0.5495574  0.7839549  
0.765724  0.1262126  
0.9208994  0.9522863  
0.7457601  0.9288797  
0.8770861  0.4996282  
0.9421666  0.4643455  
0.9292345  0.5888501  
0.9026591  0.7614505  
0.3564004  0.1023211  
0.8687061  0.9551373  
0.191173  0.05160175  
0.002953459  0.1479907  
0.3439391  0.529794  
0.6334713  0.7821928  
0.8539171  0.3661246  
0.8927763  0.4206219  
0.4097972  0.6629086  
0.2818858  0.3158826  
0.6596015  0.4411116  
